iters_flat,iters_warm,t_flat_ms,t_warm_ms
4,3,42.92020003776997,31.76440007518977
3,3,34.535399987362325,31.109899980947375
3,3,17.575799953192472,26.658699964173138
3,3,28.608599910512567,25.91450000181794
3,3,37.525400053709745,32.36710000783205
3,3,38.15580008085817,32.18179999385029
3,3,18.58939998783171,19.927999936044216
3,3,16.770100104622543,18.657100037671626
3,3,18.97920004557818,15.919700032100081
3,3,19.6029000217095,18.8520000083372
3,3,20.88299999013543,18.32889998331666
4,3,20.507500041276217,19.043800071813166
4,3,19.645499996840954,19.111800007522106
3,3,18.975700018927455,19.87890002783388
3,3,21.039600018411875,20.208699977956712
3,3,18.64620007108897,18.56709993444383
3,3,19.061799976043403,18.781600054353476
3,3,18.87229993008077,14.94639995507896
3,3,19.097999902442098,20.328199956566095
3,3,19.07140004914254,19.6029000217095
3,3,19.8017000220716,18.675199942663312
4,3,25.23329993709922,18.616599962115288
4,3,19.798399996943772,19.08160001039505
4,3,20.332499989308417,19.350900081917644
3,3,19.242400070652366,19.705799990333617
3,3,19.067500019446015,19.490099977701902
4,3,19.76599998306483,18.553599948063493
3,3,18.887100042775273,18.7200999353081
4,3,19.493900006636977,18.604999990202487
3,3,16.706000082194805,18.898800015449524
3,3,21.290199947543442,18.67419993504882
3,3,18.779799924232066,18.745800014585257
3,3,19.036700017750263,19.328000023961067
3,3,18.798999954015017,18.50080001167953
3,3,19.03429999947548,18.67430005222559
3,3,23.037799983285367,18.65199999883771
3,3,18.756300094537437,12.409900082275271
3,3,18.631799961440265,18.656100030057132
3,3,18.79219990223646,17.912400071509182
3,3,19.09810001961887,17.88459997624159
3,3,18.834799993783236,14.91850009188056
3,3,19.142000004649162,18.93360004760325
3,3,19.959499943070114,18.79100000951439
3,3,19.048499991185963,19.085000036284328
4,3,19.3425000179559,19.497999921441078
4,3,20.083700073882937,21.698900032788515
3,3,18.641000031493604,17.22829998470843
3,3,13.949800049886107,18.9259999897331
3,3,20.153700024820864,18.760500010102987
3,3,18.816999974660575,14.422800042666495
3,3,17.31120003387332,19.79399996344
3,3,19.09899991005659,18.546199891716242
3,3,14.944499940611422,18.881299998611212
3,3,16.593499924056232,17.984800040721893
3,3,16.95249998010695,19.20470001641661
3,3,18.736200057901442,19.003499997779727
3,3,18.889500061050057,16.35229995008558
3,3,16.524699982255697,18.893100088462234
3,3,18.826999934390187,8.361299987882376
3,3,17.223300063051283,19.00009997189045
3,3,19.70240008085966,18.90659995842725
4,3,19.43720004055649,18.608600017614663
3,3,18.937399960123003,18.790200003422797
3,3,18.983299960382283,11.601799982599914
3,3,18.930200021713972,19.3618000485003
3,3,18.966599949635565,18.57059996109456
3,3,18.894399981945753,19.276099978014827
3,3,12.676900019869208,19.558400032110512
3,3,18.858899944461882,19.11389990709722
3,3,18.993300036527216,18.749500042758882
3,3,17.554700025357306,19.759099930524826
3,3,22.52020000014454,18.758499994874
3,3,19.12279997486621,18.775400007143617
4,3,168.79969998262823,9.239600040018559
3,3,19.36299994122237,19.143100013025105
3,3,18.682599999010563,18.659000052139163
4,3,19.51989997178316,18.89359997585416
3,3,19.020100007764995,18.5598999960348
4,3,19.921300001442432,18.568399944342673
4,3,19.545699935406446,18.61650007776916
4,3,18.070299993269145,9.820599923841655
3,3,14.731500064954162,18.759200000204146
3,3,18.830399960279465,18.77650001551956
4,3,20.28749999590218,18.86650000233203
3,3,18.640900030732155,18.681199988350272
3,3,19.16180003900081,19.014300080016255
4,3,19.773900043219328,19.10799997858703
3,3,19.242100068368018,18.631399958394468
3,3,18.85329990182072,18.887000042013824
4,3,19.523800001479685,18.889900064095855
3,3,18.631599959917367,18.6649999814108
4,3,19.974400056526065,18.97630002349615
4,3,19.105100072920322,19.480800023302436
3,3,19.5217999862507,19.21159995254129
3,3,18.809999921359122,19.93640000000596
3,3,19.088400062173605,18.787299981340766
3,3,18.729800009168684,19.441899959929287
3,3,19.13380005862564,18.521000049076974
4,3,19.735799985937774,18.605599994771183
3,3,19.036900019273162,18.464400083757937
4,3,20.19880001898855,18.837800016626716
3,3,18.77940003760159,18.601799965836108
3,3,19.140499993227422,18.585999961942434
4,3,21.292700082994998,18.485600012354553
3,3,18.936699954792857,18.49940000101924
4,3,19.642100087366998,19.161300035193563
3,3,18.606599885970354,17.345899948850274
